OVO-nummer;Naam;Korte naam;OVO-nummer moeder entiteit;Moeder entiteit
OVO021081;Stadsarchief Poperinge - Gemeentearchief Vleteren;Stadsarchief Poperinge - Gemeentearchief Vleteren
OVO021434;Gemeentelijke Cultuurraad Alken;Gemeentelijke Cultuurraad Alken
OVO021435;Gemeentelijke Cultuurraad Alveringem;Gemeentelijke Cultuurraad Alveringem
OVO021436;Gemeentelijke Cultuurraad Antwerpen;Gemeentelijke Cultuurraad Antwerpen
OVO021437;Gemeentelijke Cultuurraad Anzegem;Gemeentelijke Cultuurraad Anzegem
OVO021438;Gemeentelijke Cultuurraad Ardooie;Gemeentelijke Cultuurraad Ardooie
OVO021439;Gemeentelijke Cultuurraad Arendonk;Gemeentelijke Cultuurraad Arendonk
OVO021440;Gemeentelijke Cultuurraad As;Gemeentelijke Cultuurraad As
OVO021441;Gemeentelijke Cultuurraad Asse;Gemeentelijke Cultuurraad Asse
OVO021442;Gemeentelijke Cultuurraad Assenede;Gemeentelijke Cultuurraad Assenede
